Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Shortname,Price,Venue Likes,Venue Rating
Bronx,Fieldston,40.89543742690383,-73.90564259591682,4c3881c3dfb0e21e3ca2aea8,Playground @ Briar Hill,40.892987544093614,-73.90854898437728,Playground,Playground,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4c268383136d20a15a83e561,Riverdale Ave,40.890424929507866,-73.91024841803598,Plaza,Plaza,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4bf9ecdd5efe2d7fb20b6d34,Chase Bank,40.888089,-73.907921,Bank,Bank,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4bd784e2885595217acd87a7,Seton Park,40.88791393116787,-73.91611321473175,Park,Park,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4e5d1a53b0fbc0acda3c5b8a,Bell Tower Park,40.88917798960079,-73.90833081276627,Park,Park,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4dd313bc813091d61fba0036,Park Lunch,40.887052545514,-73.91315349663765,Food Truck,Food Truck,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,577dc4be498e0cae8de28910,Shallash Pest Control,40.89466945869686,-73.91321539878845,Home Service,Home Services,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4ce716cd0f196dcb7fe43bae,Hayden On Hudson Gym,40.888722,-73.917011,Gym,Gym,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,4e763197814ddff25ef75d0b,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station,Bus Station,-99.0,-99.0,-99.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,51f2c026498ed796d1927393,Spuyten Duyvil Playground,40.8872269807248,-73.91605773455,Playground,Playground,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4af8b2c0f964a520460f22e3,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop,Gourmet,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,55297008498e9286460da191,Leche y Miel,40.88370946311038,-73.90160581178267,Latin American Restaurant,Latin American,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,58935fd798f8aa7c14662653,Kingsbridge Social Club,40.88454548045115,-73.90196378126393,Pizza Place,Pizza,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4bd8e98811dcc928f865f833,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant,Caribbean,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4bb114c4f964a520b9783ce3,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place,Pizza,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,59b17fe23b4e0043787e1a7c,The Bronx Public,40.87837659295958,-73.90348117090952,Pub,Pub,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4bdc88c92a3a0f47144ab3b6,Carvel Ice Cream,40.883657145742866,-73.90165452034793,Ice Cream Shop,Ice Cream,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,55568a71498e3524400a356e,Smashburger,40.8842208517097,-73.90033254824955,Burger Joint,Burgers,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4acec156f964a520d3d120e3,Bronx Alehouse,40.88474887262718,-73.89969883486997,Beer Bar,Beer Bar,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4d9a37d4d97ba1430a07346b,Loeser's Delicatessen,40.879241887611094,-73.9054706858219,Sandwich Place,Sandwiches,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,56310a2c498e97016b257476,BJ's  Wholesale Club,40.88410355664641,-73.90026731218994,Warehouse Store,Warehouse Store,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,5217dd2811d2d06ccafb77d3,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican Restaurant,Mexican,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4ce81d330f196dcb5d2b43ae,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican Restaurant,Mexican,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,558b30d0498e2fb129a2a42b,Tilila,40.88387242577101,-73.89820853750416,Bar,Bar,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,5660c06b498e4003dba169a5,Mon Amour Coffee & Wine,40.88500863418534,-73.90033222698838,Coffee Shop,Coffee Shop,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,51d2ee9b5a2347d14627b779,Buffalo Wild Wings,40.88446010603608,-73.90042394399643,Wings Joint,Wings,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,553d5376498e322eb4d37a1b,Chipotle Mexican Grill,40.88456619551229,-73.9004737612446,Mexican Restaurant,Mexican,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4ca785a597c8a1cd7e577ba5,El Economico Restaurant,40.87933018698782,-73.90459710835415,Spanish Restaurant,Spanish,-99.0,-99.0,-99.0
